nct_id,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion
NCT04345614,0,442116,Allergy to edible egg,Condition,0,4100384034,2913,2928,Allergy to eggs,"",0,<300,-99999,300,1
NCT04343183,0,4169095,Bradycardia,Condition,0,4100378534,263,274,Bradycardia,"",0,<30,-99999,30,1
NCT04311177,0,46271022,Chronic kidney disease,Condition,0,4100342234,1144,1166,chronic kidney disease,prior to enrollment,0,<110 mmHg,-99999,110,1
NCT04335123,0,434610,Hyperkalemia,Condition,0,4100366634,1428,1440,Hyperkalemia,"",0,"",-99999,99999,1
NCT04323761,0,4185565,Low cardiac output syndrome,Condition,0,4100349334,1529,1547,low cardiac output,"",0,< 30 mL/min,-99999,30,1
NCT04348435,0,4270616,Lactation,Condition,0,4100390534,1938,1947,lactating,"",0,"",-99999,99999,1
NCT04325906,0,436222,Altered mental status,Condition,0,4100350234,511,531,mental status change,"",0,< 50mmHg,-99999,50,1
NCT04322682,0,44812002,Neuromuscular disorder,Condition,0,,1672,1693,neuromuscular disease,history of,0,"",-99999,99999,1
NCT04328467,0,1326303,Digoxin,Drug,0,,904,911,digoxin,Prior,0,"",-99999,99999,1
NCT04341441,1,442752,Muscle pain,Condition,1,,293,300,myalgia,history of,0,"",-99999,99999,1
NCT04328961,1,4180435,Glove,Device,1,4100354234,544,550,gloves,"",0,< 100 kg,-99999,100,1
NCT04332991,1,254761,Cough,Condition,0,4100361834,212,217,cough,"",0,"",-99999,99999,0
NCT04332991,1,254761,Cough,Condition,0,4100362034,493,498,Cough,Receipt in the 12 hours prior to enrollment,0,"",-99999,99999,0
NCT04335552,1,254761,Cough,Condition,0,4100367234,800,805,cough,"",0,"",-99999,99999,0
NCT04335630,1,254761,Cough,Condition,0,4100367634,94,99,cough,"",0,"",-99999,99999,0
NCT04338828,1,254761,Cough,Condition,0,4100371234,196,201,cough,"",0,"",-99999,99999,0
NCT04341935,1,254761,Cough,Condition,0,4100376734,202,207,cough,"",0,"",-99999,99999,0
