nct_id,start_date,status,phase,study_type,brief_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose
NCT04323761,,Available,,Expanded Access,Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection (COVID-19),SARS-CoV2 Infection,Remdesivir,All,12,,,07102|07450|07666|07728|07740|08043|08820|08822|10043|11219|11355|11572|11576|12308|19141|33021|34239|34982|48106-0995|49007|70115|70121|70458|75231|90602|90806|91105|93721|94109|94304-1509|95118,
NCT04338347,,Available,,Expanded Access,CAP-1002 in Severe COVID-19 Disease,COVID-19,CAP-1002 Allogeneic Cardiosphere-Derived Cells,All,18,,,90048,
NCT04338360,,Available,,Expanded Access,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,COVID19,COVID-19 convalescent plasma,All,18,,,32224|54601|54703|55009|55041|55060|55066|55905|55912|56001|56007|85259,
NCT04347954,2020-05-31,Not yet recruiting,Phase 1/Phase 2,Interventional,PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19),COVID-19,Isotonic saline 0.9%|Povidone-Iodine 0.5%|Povidone-Iodine 2%,All,18,,No,94305,Treatment
NCT04347538,2020-05-31,Not yet recruiting,N/A,Interventional,Impact of Nasal Saline Irrigations on Viral Load in Patients With COVID-19,COVID 19,Saline Nasal Irrigation|Saline with Baby Shampoo Nasal Irrigation,All,18,,No,37232,Treatment
NCT04345601,2020-05-31,Not yet recruiting,Early Phase 1,Interventional,Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease),Acute Respiratory Distress Syndrome|COVID-19|Sars-CoV2,Mesenchymal Stromal Cells,All,18,,No,77030,Treatment
NCT04337216,2020-05-31,Not yet recruiting,Phase 2,Interventional,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in Patients With Severe COVID-19 Pneumonia and Systemic Hyper-inflammation,COVID-19,Mavrilimumab,All,18,,No,23298,Treatment
NCT04343976,2020-05-01,Not yet recruiting,Phase 2,Interventional,Pegylated Interferon Lambda Treatment for COVID-19,COVID|COVID-19,Pegylated interferon lambda,All,18,,No,02114,Treatment
NCT04340479,2020-05-01,Not yet recruiting,,Observational [Patient Registry],The Use of Ultrasound in Establishing COVID-19 Infection as Part of a Trauma Evaluation,COVID|Trauma|Ultrasound,Ultrasound lung imaging as part of FAST+ evaluation,All,,,Accepts Healthy Volunteers,80045,
NCT04351620,2020-04-30,Recruiting,Phase 1,Interventional,High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19,COVID-19,Hydroxychloroquine,All,18,,No,60637,Treatment
NCT04311697,2020-04-30,Not yet recruiting,Phase 2,Interventional,Intravenous Aviptadil for COVID-19 Associated Acute Respiratory Distress,Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Acute Respiratory Distress Syndrome|Corona Virus Infection,Aviptadil by intravenous infusion + maximal intensive care|Normal Saline Infusion + Maximal intensive care,All,18,100,No,10016|19107|33136,Treatment
NCT04320511,2020-04-30,Not yet recruiting,,Observational,Beaumont Quantitative Lung Function Imaging to Characterize Patients With SARS-COV 2,COVID-19|SARS-COV2|Severe Acute Respiratory Syndrome,CT-V,All,18,,No,48073,
NCT04331886,2020-04-30,Not yet recruiting,,Observational,An Observational Study of Patients With Coronavirus Disease 2019,Coronavirus|COVID-19,,All,18,,No,98195,
NCT04333732,2020-04-30,Not yet recruiting,Phase 3,Interventional,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,COVID 19,High does chloroquine or hydroxychloroquine|Low-dose chloroquine/hydroxychloroquine|Mid dose chloroquine or hydroxychloroquine|Placebo,All,18,,No,63110,Prevention
NCT04334512,2020-04-30,Not yet recruiting,Phase 2,Interventional,A Study of Quintuple Therapy to Treat COVID-19 Infection,COVID-19,Azithromycin|Hydroxychloroquine|vitamin C|Vitamin D|Zinc,All,18,,No,93003,Treatment
NCT04335084,2020-04-30,Not yet recruiting,Phase 2,Interventional,"A Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection",COVID-19,Hydroxychloroquine|Vitamin C|Vitamin D|Zinc,All,18,,Accepts Healthy Volunteers,93003,Prevention
NCT04335552,2020-04-30,Not yet recruiting,Phase 2,Interventional,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection",SARS-CoV-2,Azithromycin|Hydroxychloroquine|Standard of care,All,12,,No,27609|27704|27710,Treatment
NCT04336774,2020-04-30,Not yet recruiting,N/A,Interventional,CAPTION AI to Minimize Risk of COVID Exposure,COVID-19,Caption AI,All,18,,No,27710,Diagnostic
NCT04338828,2020-04-30,Not yet recruiting,Phase 2,Interventional,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED,COVID19,Inhaled Supplemental Oxygen|Nitric Oxide Gas,All,18,,No,02114,Treatment
NCT04340232,2020-04-30,Not yet recruiting,Phase 2/Phase 3,Interventional,Safety and Efficacy of Baricitinib for COVID-19,COVID-19,Baricitinib,All,18,89,No,80045,Treatment
NCT04341935,2020-04-30,Not yet recruiting,Phase 4,Interventional,Effects of DPP4 Inhibition on COVID-19,Coronavirus Infection|Type 2 Diabetes,Insulin regimen|Linagliptin,All,18,,No,33136,Treatment
NCT04342884,2020-04-30,Not yet recruiting,,Observational,COVID-19 Community Research Partnership,Coronavirus|COVID,,All,,,Accepts Healthy Volunteers,27157,
NCT04343183,2020-04-30,Not yet recruiting,N/A,Interventional,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,COVID-19,Hyperbaric Oxygen Therapy,All,18,,No,70121,Treatment
NCT04343677,2020-04-30,Not yet recruiting,Phase 2,Interventional,Military COVID-19 Hydroxychloroquine Pre-exposure and Post-exposure Prophylaxis Study,COVID-19,Hydroxychloroquine|Placebo,All,18,,Accepts Healthy Volunteers,20301,Prevention
NCT04344600,2020-04-30,Not yet recruiting,Phase 2,Interventional,Peginterferon Lambda-1a for the Prevention and Treatment of SARS-CoV-2 Infection,Sars-CoV2,Peginterferon lambda alfa-1a subcutaneous injection|Saline,All,18,80,No,21287,Prevention
NCT04346628,2020-04-30,Not yet recruiting,Phase 2,Interventional,Oral Favipiravir Compared to Standard Supportive Care in Subjects With Mild COVID-19,COVID,Favipiravir|Standard of care treatment,All,18,,No,94305,Treatment
NCT04347226,2020-04-30,Not yet recruiting,Phase 2,Interventional,Anti-Interleukin-8 (Anti-IL-8) for Cancer Patients With COVID-19,Hematological Malignancy|Sars-CoV2|Solid Tumor,BMS-986253,All,18,,No,10032,Treatment
NCT04348370,2020-04-30,Not yet recruiting,Phase 4,Interventional,BCG Vaccine for Health Care Workers as Defense Against SARS-COV2,Coronavirus|Coronavirus as the Cause of Diseases Classified Elsewhere|Coronavirus Infection|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere,BCG Vaccine|Placebo Vaccine,All,18,74,Accepts Healthy Volunteers,02115|77030,Prevention
NCT04348864,2020-04-30,Recruiting,N/A,Interventional,COVID-19 Antibody Self-testing Using Virtual Point-of-care,Communicable Disease|Coronavirus|COVID-19|Infectious Disease|Sars-CoV2|Virus Diseases,"COVID-19 IgM/IgG Rapid Testing, mobile device image capture and telemedicine support|Telemedicine",All,18,99,Accepts Healthy Volunteers,80260,Diagnostic
NCT04349202,2020-04-30,Recruiting,,Observational,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Coronavirus Infection|COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2,EUROIMMUN assay,All,18,,Accepts Healthy Volunteers,48073,
