nct_id,nct_id_original,pt_cohort,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion,to_display
NCT04283461,NCT04283461,1,1,443800,Amenorrhea,Condition,0,1086663942,1024,1034,amenorrhea,history of,0,"",-99999,99999,0,1
NCT04363437,NCT04363437,1,1,4185711,Loss of sense of smell,Condition,0,1086750042,599,606,anosmia,"",0,"",-99999,99999,0,1
NCT04369742,NCT04369742,1,1,4185711,Loss of sense of smell,Condition,0,1086760342,350,357,anosmia,"",0,"",-99999,99999,0,1
NCT04342663,NCT04342663,1,1,4185711,Loss of sense of smell,Condition,0,1086709542,272,300,anosmia (inability to smell),"",0,"",-99999,99999,0,1
NCT04311697,NCT04311697,1,1,4195694,Acute respiratory distress syndrome,Condition,0,,23,27,ARDS,"",0,"",-99999,99999,0,1
NCT04345601,NCT04345601,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086715942,172,176,ARDS,"",0,"",-99999,99999,0,1
NCT04366830,NCT04366830,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086755242,222,226,ARDS,"",0,"",-99999,99999,0,1
NCT04366830,NCT04366830,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086755342,970,974,ARDS,"",0,"",-99999,99999,0,1
NCT04366830,NCT04366830,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086755442,1152,1156,ARDS,"",0,"",-99999,99999,0,1
NCT04367077,NCT04367077,1,1,4195694,Acute respiratory distress syndrome,Condition,0,,69,73,ARDS,"",0,"",-99999,99999,0,1
NCT04371393,NCT04371393,1,1,4195694,Acute respiratory distress syndrome,Condition,0,,264,268,ARDS,"",0,"",-99999,99999,0,1
NCT04371393,NCT04371393,1,1,4195694,Acute respiratory distress syndrome,Condition,0,1086763542,863,867,ARDS,"",0,"",-99999,99999,0,1
